Name,Address
The Fish Market,"750 North Harbor Drive, San Diego, 92101"
Cafe 222,"222 Island Avenue, San Diego, 92101"
The Mission,"1250 J Street, San Diego, CA, 92101"
Karl Strauss Brewery,"1157 Columbia Street, San Diego, CA, 92101"
Influx,"1948 Broadway, San Diego, CA, 92102"
Craft and Commerce,"675 West Beech Street, San Diego, CA, 92101"
Buon Appetito,"1609 India Street, San Diego, CA, 92101"
El Camino,"2400 India Street, San Diego, CA, 92101"
Bankers Hill Bar and Restaurant,"2202 4th Avenue, San Diego, CA, 92101"
Il Fornaio,"1333 First Street, Coronado, CA, 92118"
Turf Supper Club,"1116 25th Street, San Diego, CA, 92102"
Shakespeare Pub and Grille,"3701 India Street, San Diego, CA, 92103"
Alchemy,"1503 30th Street, San Diego, CA, 92101"
Ocean Beach People's Organic Foods Market,"4765 Voltaire Street, San Diego, CA, 92107"
Point Loma Seafoods,"2805 Emerson Street, San Diego, CA, 92106"
Con Pane Rustic Breads and Cafe,"2750 Dewey Road, San Diego, CA, 92106"
Espresso Mio,"1920 Fort Stockton Drive, San Diego, CA, 92103"
Whole Foods Market,"711 University Avenue, San Diego, CA, 92103"
Pomegranate,"2312 El Cajon Boulevard, San Diego, CA, 92104"
Jaynes Gastropub,"4677 30th Street, San Diego, CA, 92116"
The Mission,"2801 University Avenue, San Diego, CA, 92104"
Blind Lady Ale House,"3416 Adams Avenue, San Diego, CA, 92116"
The Smoking Goat,"3408 30th Street, San Diego, CA, 92104"
Whole Foods Market,"8825 Villa La Jolla Drive, La Jolla, CA, 92037"
Caroline's Seaside Cafe,"8610 Kennel Way, La Jolla, CA, 92037"
Piatti,"2182 Avenida De La Playa, La Jolla, CA, 92037"
Georges At The Cove - Ocean Terrace,"1250 Prospect Street, La Jolla, CA, 92037"
Karl Strauss Brewing,"1044 Wall Street, San Diego, CA, 92037"
El Pescador Fish Market,"627 Pearl Street, La Jolla, CA, 92037"
Bird Rock Coffee,"5627 La Jolla Boulevard, La Jolla, CA, 92037"
Jasmine Seafood Restaurant,"4609 Convoy Street, San Diego, CA, 92111"
The Fishery,"5040 Cass Street, San Diego, CA, 92109"
JRDN Restaurant at Tower 23 Hotel,"723 Felspar Street, San Diego, CA, 92109"
Cafe 976,"976 Felspar Street, San Diego, CA, 92109"
Pacific Beach Fish Shop,"1775 Garnet Avenue, San Diego, CA, 92109"
The Mission,"3795 Mission Boulevard, San Diego, CA, 92109"
